                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     30,                  1.561,                 1.4287,                 2.1911,                 2.0131,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.5686,                 1.4098,                 2.2114,                 1.9592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.4883,                 1.4031,                 2.1473,                 1.9045,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006931,               0.006931,               0.006931
                     33,                  1.478,                 1.4101,                 2.1278,                 1.9253,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.5798,                 1.3723,                 2.2006,                  2.028,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.4737,                   1.39,                 2.0813,                 1.8797,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.4109,                 1.3787,                 2.1236,                 1.8261,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.4896,                 1.3732,                  2.101,                 1.9455,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.3984,                 1.3785,                 2.0322,                 1.8694,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006337,               0.006337,               0.006337
                     39,                  1.406,                 1.3383,                 2.0432,                 1.8007,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.3903,                 1.3456,                 2.0198,                 1.7884,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.3393,                 1.3543,                 1.9186,                 1.8222,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.3944,                 1.3655,                 1.9694,                 1.8061,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.3887,                 1.3554,                 1.9936,                 1.8425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005842,               0.005842,               0.005842
                     44,                  1.389,                 1.3766,                  2.021,                 1.7916,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.3484,                 1.3474,                 1.8435,                  1.807,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.3415,                 1.3489,                 1.8899,                 1.7509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.2796,                 1.3302,                 1.7781,                 1.6974,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.3432,                 1.3501,                 1.7768,                 1.7656,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.2716,                 1.3409,                 1.7864,                 1.7542,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005248,               0.005248,               0.005248
                     50,                 1.2569,                 1.3207,                 1.7416,                 1.7076,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005149,               0.005149,               0.005149
                     51,                   1.27,                 1.3201,                 1.7395,                  1.705,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     52,                 1.2369,                 1.3189,                 1.7152,                 1.6732,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004951,               0.004951,               0.004951
                     53,                 1.3043,                  1.335,                 1.8431,                 1.6692,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004852,               0.004852,               0.004852
                     54,                 1.1512,                 1.3406,                 1.6217,                  1.614,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004753,               0.004753,               0.004753
                     55,                 1.1902,                 1.3199,                 1.6913,                 1.6535,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004654,               0.004654,               0.004654
                     56,                 1.2515,                 1.3401,                 1.6464,                 1.6976,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004555,               0.004555,               0.004555
                     57,                 1.1723,                  1.306,                 1.6179,                 1.6195,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004456,               0.004456,               0.004456
                     58,                 1.1543,                 1.2944,                 1.5883,                   1.62,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004357,               0.004357,               0.004357
                     59,                 1.1404,                 1.2804,                 1.5763,                 1.5844,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004258,               0.004258,               0.004258
                     60,                  1.107,                 1.3008,                  1.472,                 1.5269,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004159,               0.004159,               0.004159
                     61,                 1.0706,                 1.2828,                 1.4569,                 1.5516,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     62,                 1.1568,                  1.287,                 1.4834,                 1.5986,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003961,               0.003961,               0.003961
                     63,                 1.0558,                 1.2734,                 1.4785,                 1.5192,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003862,               0.003862,               0.003862
                     64,                 1.0849,                 1.2792,                 1.4334,                 1.5502,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003763,               0.003763,               0.003763
                     65,                 1.0963,                 1.2845,                 1.4887,                 1.5419,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003664,               0.003664,               0.003664
                     66,                  1.055,                  1.263,                 1.3652,                 1.4977,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003565,               0.003565,               0.003565
                     67,                 1.0484,                 1.2739,                 1.3212,                 1.5196,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003466,               0.003466,               0.003466
                     68,                 1.0761,                 1.2704,                 1.3324,                 1.5515,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003367,               0.003367,               0.003367
                     69,                 1.0332,                 1.2556,                 1.3506,                 1.5293,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.95277,                 1.2208,                 1.3065,                 1.4294,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003169,               0.003169,               0.003169
                     71,                 1.0303,                  1.246,                 1.3361,                 1.4887,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.93408,                 1.2446,                 1.1899,                 1.4401,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002971,               0.002971,               0.002971
                     73,                 1.0311,                 1.2328,                 1.2525,                 1.4896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.94132,                 1.2374,                 1.1965,                 1.4321,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.97175,                 1.2257,                 1.1807,                 1.4381,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.92974,                 1.2167,                 1.1912,                 1.4071,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.91658,                 1.2129,                 1.0842,                   1.41,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.92914,                 1.2062,                 1.1126,                 1.4095,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.86181,                 1.2242,                 1.0886,                 1.3483,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.91453,                 1.2053,                  1.103,                 1.3712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.83709,                 1.1969,                0.99224,                 1.3413,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.84999,                 1.1823,                 1.0098,                 1.3259,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.90387,                 1.2098,                 1.0001,                 1.3945,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.86142,                 1.1929,                 1.0031,                 1.3416,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.80196,                 1.1966,                0.93346,                 1.2942,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.84315,                 1.1762,                0.92997,                 1.3478,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.79432,                 1.1843,                0.88408,                 1.3331,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.85853,                 1.1473,                 0.9076,                 1.3521,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.77581,                 1.1707,                0.84331,                 1.3209,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.72001,                 1.1326,                 0.8547,                  1.255,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.77633,                 1.1449,                0.83479,                 1.2902,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     92,                 0.8248,                 1.1696,                0.86097,                 1.2903,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.76251,                 1.1593,                0.80327,                 1.2744,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.72069,                 1.1467,                0.80863,                 1.2256,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000793,               0.000793,               0.000793
                     95,                 0.7389,                 1.1538,                0.74665,                 1.2481,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.78588,                 1.1511,                0.80598,                 1.2629,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.72064,                  1.152,                0.73648,                 1.2516,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.73101,                 1.1573,                 0.7955,                 1.2416,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.71029,                 1.1392,                0.78018,                 1.2429,                0.55922,                0.34656,                0.37398,                0.24886,                0.51488,                0.32804,                0.30494,                0.12884,                 1.8093,                 1.6523,                 2.6285,                 2.4862,               0.000298,               0.000298,               0.000298
                    100,                0.57708,                0.35829,                0.37566,                0.25005,                0.51491,                0.32804,                 0.3049,                0.12885,                 1.8091,                 1.6522,                 2.6283,                 2.4859
